,SUBMITTED_DATE,CASE_NO,PROGRAM_DESIGNATION,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_COUNTY,EMPLOYER_POSTAL_CODE,NBR_IMMIGRANTS,BEGIN_DATE,END_DATE,JOB_TITLE,DOL_DECISION_DATE,OCCUPATIONAL_CODE,OCCUPATIONAL_TITLE,APPROVAL_STATUS,WAGE_RATE_1,RATE_PER_1,MAX_RATE_1,PART_TIME_1,CITY_1,STATE_1,PREVAILING_WAGE_1,WAGE_SOURCE_1,YR_SOURCE_PUB_1,OTHER_WAGE_SOURCE_1,WAGE_RATE__2,RATE_PER_2,MAX_RATE_2,PART_TIME_2,CITY_2,STATE_2,PREVAILING_WAGE_2,WAGE_SOURCE_2,YR_SOURCE_PUB_2,OTHER_WAGE_SOURCE_2,WITHDRAWN
243771,2009-06-09,I-09160-5006283,R,"LODGING ECONOMETRICS, INC",500 MARKET ST. #13,,PORTSMOUTH,NH,ROCKINGHAM,3801,1,2009-10-01,2012-10-01,RESEARCH SPECIALIST,2009-06-09,19.0,OTHER OCCUPATIONS IN ARCHITECTURE ENGINEERING AND SURVEYING,CERTIFIED,29500,YR,,N,PORTSMOUTH,NH,25501,Other,2008.0,FOREIGN LABOR CERTIFICATION DATA CENTER,,,,,,,,,,,N
211780,2009-04-30,I-09120-4941855,R,TRINITY UNIVERSITY,ONE TRINITY PLACE,,SAN ANTONIO,TX,,78212-7200,1,2009-05-18,2012-05-18,INSTRUCTOR,2009-04-30,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,31,HR,,Y,SAN ANTONIO,TX,20,Other,2009.0,CUPA,,,,,,,,,,,N
40530,2008-12-10,I-08345-4592303,R,THE UNIVERSITY OF TEXAS-PAN AMERICAN,1201 W UNIVERSITY DR.,,EDINBURG,TX,,78541-2999,1,2009-06-01,2011-05-31,ASSISTANT PROFESSOR,2008-12-10,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,53449,YR,,N,EDINBURG,TX,33530,SESA,,,,,,,,,,,,,N
210287,2009-04-28,I-09118-4938887,R,ULTIMO SOFTWARE SOLUTIONS INC.,"2860 ZANKER ROAD, SUITE 203",,SAN JOSE,CA,,95134-2120,1,2009-04-28,2012-04-01,PROGRAMMER ANALYST,2009-04-28,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,64000,YR,,N,SAN JOSE,CA,64000,SESA,,,,,,,,,,,,,N
133126,2009-03-19,I-09078-4789871,R,"INNOVATION ASSOCIATES, INC.",627 FIELD STREET,,JOHNSON CITY,NY,BROOME,13790,1,2009-09-18,2012-09-18,ANALYTICAL TEST ENGINEER,2009-03-19,7.0,MECHANICAL ENGINEERING OCCUPATIONS,CERTIFIED,55000,YR,,N,JOHNSON CITY,NY,51480,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
178799,2009-03-31,I-09090-4874605,R,RERUBBER LLC,315 S. SULTANA AVE,,ONTARIO,CA,SAN BERNARDINO,91761,1,2009-09-30,2012-09-30,FINANCIAL BUSINESS ADVISOR/ANALYST,2009-03-31,161.0,BUDGET AND MANAGEMENT SYSTEMS AND ANALYSIS OCCUPATIONS,CERTIFIED,23,HR,,N,ONTARIO,CA,23,SESA,,,,,,,,,,,,,N
185672,2009-04-03,I-09093-4888365,R,ECOLE BILINGUE DE LA NOUVELLE-ORLEANS,821 GENERAL PERSHING,,NEW ORLEANS,LA,ORLEANS,70115,1,2009-08-01,2012-07-31,ELEMENTARY TEACHER,2009-04-03,92.0,OCCUPATIONS IN PRESCHOOL PRIMARY SCHOOL AND KINDERGARTEN EDUCATION,CERTIFIED,41716,YR,,N,NEW ORLEANS,LA,34870,Other,2009.0,OES WAGE SURVEY,,,,,,,,,,,N
37126,2008-12-03,I-08338-4585237,R,DHE SERVICES INC,3041 E FRANCIS CIR,,SAINT CHARLES,IL,KANE,60174,1,2009-01-02,2012-01-02,CONSULTANT,2008-12-03,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,140000,YR,,N,SAINT CHARLES,IL,140000,SESA,,,140000.0,yr,,N,ABBOTT PARK,IL,140000.0,SESA,,,N
122884,2009-03-16,I-09071-4752235,R,"CVS PHARMACY,INC,A RI CORPORATION,DBA CVS PHARMACY",ONE CVS DRIVE,,WOONSOCKET,RI,PROVIDENCE,2895,1,2009-09-15,2012-09-15,PHARMACIST UNDER SUPERVISION (INTERN),2009-03-16,74.0,PHARMACISTS,CERTIFIED,35,HR,47.63,Y,CROWLEY,TX,35,Other,2008.0,MERCER SALARY SURVEY,,,,,,,,,,,Y
60701,2009-01-21,I-09021-4633847,R,CIGNA CORPORATION,900 COTTAGE GROVE ROAD;B5HRS,,HARTFORD,CT,HARTFORD,6152,4,2009-07-21,2012-07-21,FINANCIAL ANALYSIS SENIOR SPECIALIST,2009-01-21,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,90000,YR,,N,PHILADELPHIA,PA,58053,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
64797,2009-01-27,I-09016-4629689,R,STATE STREET BANK AND TRUST COMPANY,"2 AVENUE DE LAFAYETTE, LCC1E",,BOSTON,MA,,02111-1724,1,2009-04-18,2012-04-18,"APPLICATION DEVELOPER, OFFICER",2009-01-27,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,85000,YR,115000.0,N,NEW YORK,NY,80800,Other,2009.0,THE SURVEY GROUP,,,,,,,,,,,N
78115,2009-02-13,I-09044-4671567,R,BAYLOR COLLEGE OF MEDICINE,INTERNATIONAL SERVICES OFFICE,"ONE BAYLOR PLAZA, BCM 410",HOUSTON,TX,HARRIS,77030,1,2009-04-04,2010-04-03,CLINICAL FELLOW/SUBSPECIALTY RESIDENT,2009-02-13,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,54000,YR,,N,HOUSTON,TX,42245,SESA,,,,,,,,,,,,,Y
159844,2009-03-26,I-09083-4823169,R,"KURT WEISS GREENHOUSES, INC.",95 MAIN STREET,,CENTER MORICHES,NY,SUFFOLK,11934,1,2009-09-23,2012-09-23,HORTICULTURAL BUSINESS MANAGER,2009-03-26,180.0,"AGRICULTURE, FORESTRY AND FISHING INDUSTRY MANAGERS AND OFFICIALS",CERTIFIED,39000,YR,,N,CENTER MORICHES,NY,36483,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
83312,2009-02-18,I-09049-4682857,R,UBS SECURITIES LLC,677 WASHINGTON BLVD.,,STAMFORD,CT,FAIRFIELD,6901,1,2009-02-18,2012-02-17,"ASSOCIATE DIRECTOR, GLOBAL INDUSTRIAL GROUP",2009-02-18,50.0,OCCUPATIONS IN ECONOMICS,CERTIFIED,90000,YR,110000.0,N,NEW YORK,NY,82014,Other,2009.0,OES,,,,,,,,,,,N
221189,2009-05-11,I-09131-4960959,R,"EZ2 TECHNOLOGIES, INC",6520 W 110 STREET,SUITE 201,OVERLAND PARK,KS,JOHNSON,66211,1,2009-05-11,2009-09-25,SOFTWARE ENGINEER,2009-05-11,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,78000,YR,,N,BALTIMORE,MD,77646,Other,2009.0,FLCDATACENTER,,,,,,,,,,,N
131581,2009-03-18,I-09077-4786933,R,AMERICAN NONWOVENS INC.,9141 ARROW HIGHWAY,,RANCHO CUCAMONGA,CA,SAN BERNARDINO,91730,1,2009-09-13,2012-09-12,BUDGET & FINANCIAL SPECIALIST,2009-03-18,161.0,BUDGET AND MANAGEMENT SYSTEMS AND ANALYSIS OCCUPATIONS,CERTIFIED,2472,MTH,,N,RANCHO CUCAMONGA,CA,2472,Other,2009.0,OES,,,,,,,,,,,N
62550,2009-01-23,I-09023-4637769,R,IBM CORPORATION,3039 CORNWALLIS RD.,,RTP,NC,DURHAM,27709,1,2009-06-24,2012-06-23,SENIOR MANAGING CONSULTANT,2009-01-23,39.0,OTHER COMPUTER-RELATED OCCUPATIONS,CERTIFIED,84699,YR,159125.0,N,PHOENIX,AZ,58802,Other,2009.0,OES WAGE DATA,84699.0,yr,159125.0,N,FAIRFAX,VA,72134.0,Other,2009.0,OES Wage Data,Y
208649,2009-04-27,I-09117-4935483,R,INFOVISTA TECHNOLOGIES INC,2550 US HIGHWAY NO 1,,NORTH BRUNSWICK,NJ,MIDDLESEX,8902,1,2009-10-01,2012-09-30,DATABASE ADMINISTRATOR,2009-04-27,39.0,OTHER COMPUTER-RELATED OCCUPATIONS,CERTIFIED,67246,YR,67246.0,N,PLYMOUTH,MN,58906,Other,2008.0,FLC WAGE DATA,67246.0,yr,67246.0,N,NORTH BRUNSWICK,NJ,67246.0,Other,2008.0,FLC WAGE DATA,N
27495,2008-11-14,I-08319-4565453,R,DOUGLAS COUNTY SCHOOL SYSTEM,P.O. BOX 1077,,DOUGLASVILLE,GA,DOUGLAS,30133,1,2008-11-17,2009-06-02,KINDERGARTEN TEACHER,2008-11-14,92.0,OCCUPATIONS IN PRESCHOOL PRIMARY SCHOOL AND KINDERGARTEN EDUCATION,CERTIFIED,37075,YR,,N,LITHIA SPRINGS,GA,26460,Other,2008.0,OES SURVEY 25-3099,,,,,,,,,,,N
7912,2008-10-14,I-08269-4502523,R,ASHLAND INC.,50 EAST RIVERCENTER BLVD.,,COVINGTON,KY,KENTON,41011,1,2008-11-30,2011-11-30,SENIOR RESEARCH CHEMIST,2008-10-14,22.0,OCCUPATIONS IN CHEMISTRY,CERTIFIED,79900,YR,,N,DUBLIN,OH,68349,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
80163,2009-02-16,I-09047-4675951,R,VCARVE INC,P O BOX 4254,,TALLAHASSEE,FL,,32315-4254,1,2009-02-16,2012-02-15,PROGRAMMER ANALYST,2009-02-16,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,48000,YR,,N,ITASCA,IL,46301,Other,2008.0,OES/SOC,48000.0,yr,,N,TALLAHASSE,FL,40456.0,Other,2008.0,OES/SOC,N
120603,2009-03-14,I-09073-4765229,R,POLARIS SOFTWARE LAB (INDIA) LTD.,WOODBRIDGE PLACE,"517, ROUTE 1 SOUTH SUITE 2103",ISELIN,NJ,MIDDLESEX,8830,1,2009-09-12,2012-09-12,PROGRAMMER ANALYST,2009-03-14,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,53000,YR,,N,ISELIN,NJ,52957,Other,2009.0,OES,,,,,,,,,,,N
156415,2009-03-25,I-09084-4833503,R,BORG BI LLC,1750 N FOUNTAIN BLVD,,SPRINGFIELD,OH,CLARK,45504,1,2009-03-25,2010-04-01,SR SOFTWARE DEVELOPER,2009-03-25,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,55200,YR,,N,COLUMBUS,OH,55200,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
201689,2009-04-20,I-09110-4921195,R,"WELCOME2SOLUTIONS, LLC",4375 RIDGECREST DRIVE,,COPLEY,OH,SUMMIT,44321,1,2009-05-01,2012-05-01,DATABASE ADMINISTRATOR,2009-04-20,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,50000,YR,,N,COPLEY,OH,44054,Other,2009.0,OES ONLINE WAGE LIBRARY,,,,,,,,,,,N
226470,2009-05-15,I-09135-4971173,R,NUBON INTERNATIONAL CORP.,1239 BROADWAY,SUITE 1600,NEW YORK,NY,NEW YORK,10001,1,2009-10-01,2012-09-30,GRAPHIC JEWELRY DESIGNER,2009-05-15,141.0,"COMMERCIAL ARTISTS: DESIGNERS AND ILLUSTRATORS, GRAPHIC ARTS",CERTIFIED,35000,YR,,N,NEW YORK,NY,32960,Other,2009.0,OES,,,,,,,,,,,N
70945,2009-02-04,I-09035-4655863,R,CROCODILE BROADDCASTING CORP DBA RADIO TROPICAL/KG,3850 N. CAUSEWAY BLVD,,METAIRIE,LA,JEFFERSON,70002,1,2009-02-16,2010-02-15,PROGRAM DIRECTOR,2009-02-04,159.0,OTHER OCCUPATIONS IN ENTERTAINMENT AND RECREATION,CERTIFIED,42000,YR,,N,METAIRIE,LA,29682,Other,2009.0,OES WAGE SURVEY,,,,,,,,,,,N
263945,2009-06-30,I-09181-5046873,R,ALBERT EINSTEIN MEDICAL CENTER,5401 OLD YORK ROAD,,PHILADELPHIA,PA,PHILADELPHIA,19141,1,2009-08-01,2011-06-30,CLINICAL FELLOW,2009-06-30,70.0,PHYSICIANS AND SURGEONS,CERTIFIED,37500,YR,,N,PHILADELPHIA,PA,30867,Other,2009.0,OES,,,,,,,,,,,N
196207,2009-04-14,I-09104-4910227,R,NEW YORK INDEPENDENT SYSTEM OPERATOR,10 KREY BOULEVARD,,RENSSELAER,NY,RENSSELAER,12144,1,2009-04-27,2012-04-27,PLANNING SENIOR ENGINEER,2009-04-14,3.0,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,CERTIFIED,93000,YR,,N,RENSSELAER,NY,86341,SESA,,,,,,,,,,,,,N
252673,2009-06-18,I-09169-5024511,R,NEW YORK UNIVERSITY HOSPITALS CENTER,"ONE PARK AVENUE, 16TH FLOOR",,NEW YORK,NY,NEW YORK,10016,1,2009-07-01,2012-06-30,MANAGER - LOGISTICS,2009-06-18,79.0,OTHER OCCUPATIONS IN MEDICINE AND HEALTH,CERTIFIED,57466,YR,,N,NEW YORK,NY,38501,Other,2009.0,OES,,,,,,,,,,,N
207316,2009-04-24,I-09111-4925653,R,FRANCE TELECOM RESEARCH & DEVELOPMENT,"801 GATEWAY BLVD., SUITE 500",,SOUTH SAN FRANCISCO,CA,SAN MATEO,94080,1,2009-10-01,2012-09-30,IP NETWORK ARCHITECT,2009-04-24,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,84344,YR,100170.0,N,SOUTH SAN SANFRISCO,CA,84344,Other,2008.0,OES WAGE DATA,,,,,,,,,,,N
225437,2009-05-14,I-09133-4965817,R,"CCS ASSOCIATES, INC.",2005 LANDINGS DRIVE,,MOUNTAIN VIEW,CA,SANTA CLARA,94043,1,2009-10-01,2012-09-30,"SCIENTIST, SCIENTIFIC AFFAIRS",2009-05-14,49.0,OTHER OCCUPATIONS IN LIFE SCIENCES,CERTIFIED,65790,YR,75000.0,N,VIENNA,VA,65790,Other,2008.0,OES SURVEY,,,,,,,,,,,N
261803,2009-06-29,I-09177-5040739,R,"BUSINESS INTELLIGENCE ASSOCIATES, INC.",39 BROADWAY,26TH FLOOR,NEW YORK,NY,NEW YORK,10006,1,2009-07-06,2012-07-06,SOFTWARE ENGINEER,2009-06-29,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,96000,YR,,N,NEW YORK,NY,78686,Other,2009.0,OES ONLINE WAGE SURVEY,,,,,,,,,,,N
137392,2009-03-20,I-09079-4797951,R,BOWDOIN COLLEGE,HUMAN RESOURCES,3500 COLLEGE STATION,BRUNSWICK,ME,,04011-8426,1,2009-07-01,2012-06-30,ASSISTANT PROFESSOR OF ECONOMICS,2009-03-20,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,84500,YR,,N,BRUNSWICK,ME,42030,SESA,,,,,,,,,,,,,Y
120423,2009-03-14,I-09073-4764733,R,"NEXT GENERATION PROFESSIONALS, LLC.",23331 EL TORO ROAD,SUITE 203,LAKE FOREST,CA,ORANGE,92630,1,2009-03-14,2012-03-13,PROGRAMMER ANALYST,2009-03-14,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,70000,YR,,N,GLENDALE,AZ,68723,Other,2009.0,OES,,,,,,,,,,,N
6716,2008-10-10,I-08273-4505521,R,"TMA RESOURCES, INC.",1919 GALLOWS DR.,SUITE 400,VIENNA,VA,FAIRFAX,22182,1,2008-10-10,2011-10-09,SENIOR TECHNICAL CONSULTANT,2008-10-10,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,86000,YR,96000.0,N,SMYRNA,GA,85238,Other,2008.0,OES WAGE SURVEY,,,,,,,,,,,N
39408,2008-12-08,I-08343-4590181,R,GRANT THORNTON LLP,175 WEST JACKSON BLVD.,SUITE 2000,CHICAGO,IL,COOK,60604,1,2008-12-19,2011-12-19,SENIOR TAX ASSOCIATE,2008-12-08,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,58600,YR,65000.0,N,MCLEAN,VA,58510,Other,2008.0,OES WAGE SURVEY,,,,,,,,,,,N
74265,2009-02-09,I-09040-4661889,R,"FACEBOOK, INC.",151 UNIVERSITY AVENUE,,PALO ALTO,CA,SANTA CLARA,94301,1,2009-02-15,2012-02-14,"SOFTWARE ENGINEER, BUSINESS APPLICATIONS",2009-02-09,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,85000,YR,,N,PALO ALTO,CA,73112,Other,2008.0,OES,,,,,,,,,,,N
177163,2009-03-31,I-09090-4871561,R,"ANMOL SOFT, INC.","4655 OLD IRONSIDES DRIVE, SUITE 250",,SANTA CLARA,CA,SANTA CLARA,95054,1,2009-09-30,2012-09-30,QA DEVELOPER,2009-03-31,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,65000,YR,,N,SANTA CLARA,CA,63232,Other,2008.0,OES WAGE SURVEY,,,,,,,,,,,N
4832,2008-10-08,I-08282-4519397,R,PTC,140 KENDRICK STREET,,NEEDHAM,MA,NORFOLK,2494,1,2008-11-07,2010-01-08,SENIOR SOFTWARE ENGINEER,2008-10-08,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,DENIED,68100,YR,,N,ARDEN HILLS,MN,68100,Other,2008.0,MERCER BENCHMARK DATABASE INFORMATION TECHNOLOGY SURVEY REPORT 2008,,,,,,,,,,,N
240999,2009-06-04,I-09155-5000635,R,MOUNT SINAI MEDICAL CENTER,4300 ALTON ROAD,,MIAMI BEACH,FL,MIAMI-DADE,33140,1,2009-06-30,2012-06-29,FELLOW UROLOGIC ONCOLOGY,2009-06-04,79.0,OTHER OCCUPATIONS IN MEDICINE AND HEALTH,CERTIFIED,51376,YR,,N,MIAMI BEACH,FL,51376,Other,2009.0,OES,,,,,,,,,,,N
198884,2009-04-15,I-09105-4915533,R,LEHIGH UNIVERSITY,INTERNATIONAL STUDENTS AND SCHOLARS OFFICE,"32 SAYRE DRIVE, COXE HALL",BETHLEHEM,PA,,18015-3123,1,2009-06-01,2012-05-31,RESEARCH SCIENTIST 3,2009-04-15,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,38000,YR,,N,BETHLEHEM,PA,31262,SESA,,,,,,,,,,,,,N
194769,2009-04-13,I-09021-4634269,R,"GOLDMAN, SACHS & CO.",85 BROAD STREET,,NEW YORK,NY,NEW YORK,10004,1,2009-09-30,2012-09-30,ANALYST/DEVELOPER,2009-04-13,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,75200,YR,,N,JERSEY CITY,NJ,73694,Other,2008.0,OES,,,,,,,,,,,N
61155,2009-01-21,I-09021-4633865,R,UNIVERSITY OF KENTUCKY,"213 BRADLEY HALL, OFFICE OF INTL AFFAIRS",,LEXINGTON,KY,FAYETTE,40506,1,2009-01-28,2011-01-27,POSTDOCTORAL SCHOLAR,2009-01-21,7.0,MECHANICAL ENGINEERING OCCUPATIONS,CERTIFIED,45000,YR,,N,LEXINGTON,KY,33342,SESA,,,,,,,,,,,,,N
71641,2009-02-05,I-09036-4657403,R,"PROWISE SOLUTIONS, INC.","15 CORPORATE PLACE SOUTH, SUITE #425",,PISCATAWAY,NJ,MIDDLESEX,8854,1,2009-02-05,2012-02-04,PROGRAMMER ANALYST,2009-02-05,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,,N,PISCATAWAY,NJ,52957,Other,2008.0,OES WAGE SURVEY,,,,,,,,,,,N
29019,2008-11-18,I-08323-4568725,R,WALGREEN CO,300 WILMOT ROAD,,DEERFIELD,IL,LAKE,60015,1,2008-11-18,2011-11-17,PHARMACIST,2008-11-18,74.0,PHARMACISTS,CERTIFIED,59,HR,,N,SACRAMENTO COUNTY,CA,50,Other,2008.0,OES WAGE SURVEY,,,,,,,,,,,N
113510,2009-03-11,I-09070-4750113,R,INTERSHELL INTERNATIONAL CORPORATION,106 EAST MAIN STREET,,GLOUCESTER,MA,ESSEX,1930,1,2009-09-01,2012-08-31,MARKET ANALYST,2009-03-11,161.0,BUDGET AND MANAGEMENT SYSTEMS AND ANALYSIS OCCUPATIONS,CERTIFIED,44096,YR,,N,GLOUCESTER,MA,44096,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
99444,2009-03-03,I-09062-4718789,R,"SOLARMER ENERGY, INC.",3445 FLETCHER AVE.,,EL MONTE,CA,LOS ANGELES,91731,1,2009-03-09,2012-03-08,PRODUCT ENGINEER,2009-03-03,12.0,INDUSTRIAL ENGINEERING OCCUPATIONS,CERTIFIED,54392,YR,,N,EL MONTE,CA,54392,SESA,,,,,,,,,,,,,N
216194,2009-05-05,I-09125-4950727,R,"SYMBOL SOFTWARE SERVICES, INC.",100 PLAINFIELD AVENUE,SUITE 4,EDISON,NJ,MIDDLESEX,8817,1,2009-10-01,2011-09-30,PROGRAMMER / ANALYST,2009-05-05,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,68500,YR,,N,EDISON,NJ,68162,Other,2009.0,OES ONLINE WAGE LIBRARY,68500.0,yr,,N,FALLS CHURCH,VA,68162.0,Other,2009.0,OES Online Wage Library,N
143705,2009-03-23,I-09082-4810143,R,"ALFA G.L., INC.",7915 N.W. 20TH STREET,,PEMBROKE PINES,FL,BROWARD,33024,1,2009-09-22,2012-09-21,SYSTEMS ANALYST,2009-03-23,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,38000,YR,,N,PEMBROKE PINES,FL,34673,Other,2009.0,OES,,,,,,,,,,,N
130377,2009-03-18,I-09077-4784501,R,BLACKWELL CONSULTING SERVICES,100 SOUTH WACKER DRIVE STE 800,,CHICAGO,IL,COOK,60606,1,2009-09-17,2012-09-17,SOFTWARE ENGINEER,2009-03-18,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,62000,YR,,N,CHICAGO,IL,58614,Other,2009.0,OES WAGE DATA,,,,,,,,,,,N
132949,2009-03-19,I-09078-4789535,R,WEIL GOTSHAL & MANGES LLP,767 FIFTH AVENUE,,NEW YORK,NY,NEW YORK,10153,1,2009-09-18,2012-09-18,"ASSOCIATE, LITIGATION/REGULATORY DEPARTMENT",2009-03-19,110.0,LAWYERS,CERTIFIED,230000,YR,,N,NEW YORK,NY,177986,Other,2009.0,FOREIGN LABOR CERTIFICATION DATA CENTER ONLINE WAGE LIBRARY,,,,,,,,,,,N
208706,2009-04-27,I-09117-4935609,R,GRAND RAPIDS OPHTHALMOLOGY,750 EAST BELTLINE NE,,GRAND RAPIDS,MI,KENT,49525,1,2009-07-18,2012-07-18,OPTOMETRIST,2009-04-27,79.0,OTHER OCCUPATIONS IN MEDICINE AND HEALTH,CERTIFIED,47,HR,47.5,Y,GRAND RAPIDS,MI,45,Other,2009.0,OES WAGE SURVEY,,,,,,,,,,,N
116315,2009-03-12,I-09064-4728939,R,"CB&I, INC.",3010 BRIARPARK DRIVE,SUITE 600,HOUSTON,TX,HARRIS,77042,1,2009-09-04,2012-09-04,PROCESS ENGINEER III,2009-03-12,19.0,OTHER OCCUPATIONS IN ARCHITECTURE ENGINEERING AND SURVEYING,CERTIFIED,85000,YR,,N,HOUSTON,TX,82368,Other,2008.0,OES SOC WAGE DATA,,,,,,,,,,,N
85631,2009-02-20,I-09051-4688153,R,IT RESONANCE INC.,2948 ARTESIAN RD. SUITE 108,,NAPERVILLE,IL,WILL,60564,1,2009-03-02,2011-08-06,PROGRAMMER ANALYST,2009-02-20,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,63232,YR,,N,ALVISO,CA,63232,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
89998,2009-02-24,I-09055-4697827,R,LEAPERS INC.,32700 CAPITOL ST.,,LIVONIA,MI,WAYNE,48150,1,2009-08-20,2012-08-20,PRODUCT ENGINEER,2009-02-24,12.0,INDUSTRIAL ENGINEERING OCCUPATIONS,CERTIFIED,65200,YR,,N,LIVONIA,MI,65125,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
165026,2009-03-27,I-09086-4849075,R,PROGRAMMER RESOURCES INTERNATIONAL INC,221 CLARKSON EXECUTIVE PARK,,ELLISVILLE,MO,ST. LOUIS,63011,1,2009-09-23,2012-09-23,PROGRAMMER ANALYST,2009-03-27,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,,N,ELLISVILLE,MO,40061,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
69516,2009-02-03,I-09034-4652733,R,NEW MEXICO STATE UNIVERSITY,JETT HALL 259,"P.O. BOX 30001, MSC 3805",LAS CRUCES,NM,DONA ANA,88003,1,2009-02-15,2012-02-15,RESEARCH ASSOCIATE,2009-02-03,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,34000,YR,,N,LAS CRUCES,NM,33250,Other,2009.0,OES,,,,,,,,,,,N
14965,2008-10-24,I-08298-4539927,R,"BODEN SERVICES, INC.",ONE EXECUTIVE DRIVE,SUITE 280,SOMERSET,NJ,SOMERSET,8873,1,2008-12-01,2011-11-30,SOFTWARE ENGINEER,2008-10-24,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,44,HR,,N,TALLAHASSEE,FL,34,SESA,,,,,,,,,,,,,N
210981,2009-04-29,I-09119-4940301,R,"PROFESSIONAL SUCCESS NETWORK, LLC",33932 NE STOSSEL CREEK WAY,,DUVALL,WA,KING,98019,1,2009-10-29,2012-10-29,BUSINESS DEVELOPMENT SPECIALIST,2009-04-29,199.0,"MISCELLANEOUS PROFESSIONAL, TECHNICAL, AND MANAGERIAL OCCUPATIONS",CERTIFIED,39957,YR,51771.0,N,DUVALL,WA,39957,Other,2008.0,OES WAGE DATA,39957.0,yr,51771.0,N,SEATTLE,WA,39957.0,Other,2008.0,OES Wage Data,N
231736,2009-05-21,I-09141-4981843,R,"BEST BEACH PROPERTIES, INC.",3933 BISCAYNE BOULEVARD,,MIAMI,FL,MIAMI-DADE,33138,1,2009-09-30,2012-09-30,MARKET RESEARCH ANALYST,2009-05-21,169.0,OTHER OCCUPATIONS IN ADMINISTRATIVE OCCUPATIONS,CERTIFIED,35000,YR,,N,MIAMI BEACH,FL,34611,Other,2008.0,OES/SOC,,,,,,,,,,,N
