,LCA_CASE_NUMBER,STATUS,LCA_CASE_SUBMIT,Decision_Date,VISA_CLASS,LCA_CASE_EMPLOYMENT_START_DATE,LCA_CASE_EMPLOYMENT_END_DATE,LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,LCA_CASE_WAGE_RATE_TO,LCA_CASE_WAGE_RATE_UNIT,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,PW_1,PW_UNIT_1,PW_SOURCE_1,OTHER_WAGE_SOURCE_1,YR_SOURCE_PUB_1,LCA_CASE_WORKLOC2_CITY,LCA_CASE_WORKLOC2_STATE,PW_2,PW_UNIT_2,PW_SOURCE_2,OTHER_WAGE_SOURCE_2,YR_SOURCE_PUB_2,LCA_CASE_NAICS_CODE
6589,I-200-09187-529948,WITHDRAWN,2009-07-06,2009-07-10,H-1B,2009-12-19,2012-12-18,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT H,OFFICE OF INTERNATIONAL AFFAIRS,HOUSTON,TX,77225,25-1071.00,"Health Specialties Teachers, Postsecondary",ASSISTANT PROFESSOR,130000.0,,Year,Y,1.0,HOUSTON,TX,70295.0,Year,OES,,2009.0,,,,,,,,611310.0
12792,I-200-09194-930278,CERTIFIED,2009-07-13,2009-07-17,H-1B,2009-07-14,2012-07-14,ERP AND ERP CORP.,48521 WARM SPRINGS BLVD,FREMONT,CA,94539-,15-1051.00,Computer Systems Analysts,PROGRAMMER ANALYST,60000.0,,Year,Y,1.0,FREMONT,CA,52790.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,NEWTOWN,PA,51542.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,541511.0
72743,I-200-09257-351180,CERTIFIED,2009-09-14,2009-09-18,H-1B,2010-03-14,2013-03-14,"NOMURA HOLDING AMERICA, INC.",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281,13-2051.00,Financial Analysts,"ASSOCIATE, PRODUCT CONTROLLER",65000.0,,Year,Y,1.0,NEW YORK,NY,60590.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,523110.0
57704,I-200-09240-111985,CERTIFIED,2009-08-28,2009-09-03,H-1B,2009-09-08,2012-09-08,"CA, INC.",ONE CA PLAZA,ISLANDIA,NY,11749,15-1031.00,"Computer Software Engineers, Applications",ENGINEERING SERVICES ARCHITECT,120000.0,,Year,Y,1.0,REDWOOD CITY,CA,71386.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541519.0
26523,I-200-09209-622235,CERTIFIED,2009-07-30,2009-08-05,H-1B,2009-08-07,2012-08-06,CUMMINS INC.,2931 ELM HILL PIKE,NASHVILLE,TN,37214,17-2112.00,Industrial Engineers,MASTER SCHEDULER,58011.0,74500.0,Year,Y,1.0,FRIDLEY,MN,58011.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,3336.0
66245,I-200-09247-338447,CERTIFIED,2009-09-04,2009-09-11,H-1B,2009-09-08,2012-09-07,ASCENT TECHNOLOGIES INC,15 PRESTBURY SQUARE,NEWARK,DE,19713,15-1022.00,Computer Programmer Non R & D,COMPUTER PROGRAMMER,60000.0,,Year,Y,1.0,ST. LOUIS,MO,54995.0,Year,Other,MISSOURI ONLINE WAGE LIBRARY,2009.0,NEWARK,DE,51584.0,Year,Other,DELAWARE ONLINE LIBRARY,2009.0,541511.0
75115,I-200-09259-105501,DENIED,2009-09-16,2009-09-24,H-1B,2009-09-28,2011-02-27,"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC",9 BLACKHAWK CT,BLYTHEWOOD,SC,29016,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,41621.0,,Year,Y,1.0,DES MOINES,IA,43500.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
902,I-200-09124-026806,CERTIFIED,2009-05-04,2009-05-08,H-1B,2009-09-30,2012-09-30,"AUTOMOTIVE GLOBAL COMPONENTS, INC.",4095 PELLETIER BLVD.,ORCHARD LAKE,MI,48324,17-2141.00,Mechanical Engineers,MECHANICAL ENGINEER,50160.0,,Year,Y,1.0,JACKSON,MI,48589.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541330.0
3830,I-200-09173-211356,WITHDRAWN,2009-06-22,2009-07-20,H-1B,2009-10-28,2010-10-27,NATIONAL INSTITUTES OF HEALTH,DIV OF INTERNATIONAL SERVICES,BETHESDA,MD,20892,19-1029.99,"Biological Scientists, All Other",RESEARCH FELLOW,61421.0,,Year,Y,1.0,BALTIMORE,MD,61152.0,Year,OES,,2009.0,,,,,,,,54710.0
52954,I-200-09238-089613,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-10-01,2012-09-30,"KPIT INFOSYSTEMS, INC.","33 WOOD AVENUE SOUTH, 7TH FLOOR",ISELIN,NJ,08830-,15-1021.00,Computer Programmers,ONSITE CO-ORDINATOR (IT),45491.0,,Year,Y,1.0,COLUMBUS,IN,43181.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
21474,I-200-09203-811247,CERTIFIED,2009-07-22,2009-07-28,H-1B,2009-10-01,2012-09-30,"HYDUS, INC",2415 TOWN CENTER BLVD,SUGAR LAND,TX,77478,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,75000.0,,Year,Y,1.0,SUGAR LAND,TX,63378.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
82891,I-200-09267-248480,CERTIFIED,2009-09-24,2009-09-28,H-1B,2009-10-01,2012-09-30,LOCAL SERVICE CORPORATION,4500 WEST HINSDALE AVE.,LITTLETON,CO,80128,11-3051.00,Industrial Production Managers,QUALITY CONTROL ENGINEER,26.5,,Hour,Y,1.0,LITTLETON,CO,26.4,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,531120.0
5236,I-200-09182-871988,DENIED,2009-07-01,2009-07-02,H-1B,2009-07-11,2012-07-11,"JPS HOLDINGS, INC.",16060 VENTURA BOULEVARD,ENCINO,CA,91436,15-1041.00,Computer Support Specialists,DATABASE ADMINISTRATOR,41371.2,,Year,Y,1.0,ENCINO,CA,37003.0,Year,OES,,2009.0,,,,,,,,541511.0
83257,I-200-09267-549959,CERTIFIED,2009-09-24,2009-09-24,H-1B,2009-09-25,2012-09-25,"ACCESS THERAPIES, INC.",5980 W 71ST STREET,INDIANAPOLIS,IN,46278-,29-1123.00,Physical Therapists,PHYSICAL THERAPIST,21.57,,Hour,Y,1.0,EVANSVILLE,IN,21.57,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,620000.0
85933,I-200-09272-421345,CERTIFIED-WITHDRAWN,2009-09-29,2009-09-29,H-1B,2009-10-09,2011-08-30,ALBERT EINSTEIN COLLEGE OF MEDICINE OF YESHIVA UNI,1300 MORRIS PARK AVENUE,BRONX,NY,10461,19-1021.00,Biochemists and Biophysicists,RESEARCH TECHNICIAN B,22623.48,,Year,N,1.0,NEW YORK,NY,22623.48,Year,CBA,,2009.0,,,,,,,,611310.0
41310,I-200-09224-854663,CERTIFIED,2009-08-12,2009-08-18,H-1B,2009-09-25,2012-09-24,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,SANTA CLARA,AZ,95054,17-2071.00,Electrical Engineers,TEST ENGINEER,86276.43,,Year,Y,1.0,HILLSBORO,OR,73320.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,334400.0
36436,I-200-09218-956945,CERTIFIED-WITHDRAWN,2009-08-06,2009-08-12,H-1B,2009-08-17,2012-08-16,CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION,4800 OAK GROVE DRIVE,PASADENA,CA,91109,19-2011.00,Astronomers,SCIENTIST (RESEARCHER),104000.0,,Year,Y,1.0,PASADENA,CA,60070.0,Year,OES,,2009.0,,,,,,,,541710.0
73922,I-200-09258-233505,CERTIFIED,2009-09-16,2009-09-22,H-1B,2010-02-28,2011-09-22,"LEGG MASON & COMPANY, LLC",100 LIGHT STREET,BALTIMORE,MD,21202-,15-1032.00,"Computer Software Engineers, Systems Software",DEVELOPER IV,86750.0,,Year,Y,1.0,OWINGS MILLS,MD,72700.0,Year,Other,MERCER BENCHMARK DATABASE INFORMATION TECHNOLOGY,2009.0,,,,,,,,5239.0
39163,I-200-09223-254880,CERTIFIED,2009-08-11,2009-08-17,H-1B,2009-09-01,2009-12-31,COLUMBIA UNIVERSITY,"2960 BROADWAY, MC5724",NEW YORK,NY,10027,25-1031.00,"Architecture Teachers, Postsecondary",ADJUNCT ASSISTANT PROFESSOR,69.0,,Hour,N,1.0,NEW YORK,NY,22.0,Hour,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611310.0
9922,I-200-09190-614708,CERTIFIED,2009-07-09,2009-07-15,H-1B,2009-08-01,2012-08-01,"DATA, INC.",72 SUMMIT AVE.,MONTVALE,NJ,7645,15-1031.00,"Computer Software Engineers, Applications",PROGRAMMER ANALYST,38.94,68.0,Hour,Y,1.0,STAMFORD,CT,38.94,Hour,Other,ONLINE WAGE LIBRARY,2009.0,,,,,,,,54151.0
43637,I-200-09226-819972,CERTIFIED,2009-08-14,2009-08-20,H-1B,2009-11-01,2012-10-31,HOWARD HUGHES MEDICAL INSTITUTE,4000 JONES BRIDGE RD,CHEVY CHASE,MD,20815,19-1099.99,"Life Scientists, All Other",RESEARCH ASSOCIATE,38000.0,45000.0,Year,Y,1.0,WALTHAM,MA,35797.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541710.0
22451,I-200-09204-571168,CERTIFIED,2009-07-23,2009-07-29,H-1B,2009-10-01,2012-09-30,"EFORTRESSES, INC.",3340 PEACHTREE ROAD NE,ATLANTA,GA,30326-,15-1071.00,Network and Computer Systems Administrators,INFORMATION SECURITY ANALYST,48500.0,,Year,Y,1.0,ATLANTA,GA,48381.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541512.0
14790,I-200-09196-524694,CERTIFIED,2009-07-23,2009-07-29,H-1B,2009-09-30,2012-09-30,SCANDENT GROUP INC,4B CEDAR BROOK DRIVE,CRANBURY,NJ,8512,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,60000.0,,Year,Y,1.0,NEW YORK CITY,NY,48526.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
72372,I-200-09257-048045,CERTIFIED,2009-09-14,2009-09-18,H-1B,2009-10-01,2012-10-01,ARCELORMITTAL USA INC.,1 SOUTH DEARBORN,CHICAGO,IL,60603-,17-2041.00,Chemical Engineers,CHEMICAL ENGINEER,70949.0,,Year,Y,1.0,BURNS HARBOR,IN,70949.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,331111.0
74816,I-200-09258-885817,CERTIFIED,2009-09-15,2009-09-21,H-1B,2009-09-15,2012-09-14,DGN TECHNOLOGIES INC,46500 FREMONT BLVD,FREMONT,CA,94538,15-1051.00,Computer Systems Analysts,PROGRAMMER ANALYST,61797.0,,Year,Y,1.0,SAN FRANCISCO,CA,61797.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
12839,I-200-09194-965003,CERTIFIED,2009-07-15,2009-07-21,H-1B,2009-07-15,2012-07-13,"CLINILABS, INC.",423 WEST 55TH STREET,NEW YORK,NY,10019,29-2099.99,"Health Technologists and Technicians, All Other",TECHNOLOGIST (POLYSOMNOGRAPHIC TECHNICIAN),21.0,,Hour,N,4.0,NEW YORK,NY,19.59,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,621111.0
40978,I-200-09224-614937,CERTIFIED,2009-08-12,2009-08-18,H-1B,2009-10-02,2012-10-01,"PATNI AMERICAS, INC.",ONE BROADWAY,CAMBRIDGE,MA,2142,15-1021.00,Computer Programmers,COMPUTER PROGRAMMERS,63600.0,,Year,Y,1.0,ENGLEWOOD CLIFFS,NJ,63586.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
34773,I-200-09217-591031,CERTIFIED,2009-08-05,2009-08-11,H-1B,2009-08-05,2010-04-18,VIRGO INC,"333 N.OXFORDVALLEY RD,#405",FAIRLESS HILLS,PA,19030,15-1051.00,Computer Systems Analysts,PROGRAMMER ANALYST,52000.0,,Year,Y,1.0,FAIRLESS HILLS,PA,51542.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,"TOLEDO,",OH,45490.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,541511.0
41603,I-200-09225-066093,CERTIFIED,2009-08-13,2009-08-19,H-1B,2009-08-13,2012-08-13,SATYAM COMPUTER SERVICES LIMITED,ONE GATEHALL DRIVE,PARSIPPANY,NJ,7054,15-1051.00,Computer Systems Analysts,SYSTEMS ANALYST,68494.0,78494.0,Year,Y,3.0,NAPERVILLE,IL,68494.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
70036,I-200-09253-345292,CERTIFIED,2009-09-10,2009-09-16,H-1B,2009-10-01,2012-09-01,"AJEL TECHNOLOGIES, INC","45 BRUNSWICK AVENUE, SUITE # 222",EDISON,NJ,8817,15-1051.00,Computer Systems Analysts,BUSINESS SYSTEMS ANALYST,63294.0,,Year,Y,1.0,EDISON,NJ,63294.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
22135,I-200-09204-323367,CERTIFIED,2009-07-28,2009-08-03,H-1B,2009-08-01,2012-08-01,"PRICEWATERHOUSECOOPERS, LLP","3109 W DR. MARTIN LUTHER KING JR., BLVD.",TAMPA,FL,33607,13-2011.00,Accountants and Auditors,ASSOCIATE (TAX),43800.0,81300.0,Year,Y,25.0,PHILADELPHIA,PA,43763.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541611.0
15561,I-200-09197-150434,CERTIFIED,2009-07-16,2009-07-22,H-1B,2009-08-11,2011-08-10,LA PORTE INDEPENDENT SCHOOL DISTRICT,1002 SAN JACINTO STREET,LA PORTE,TX,77571,25-2021.00,"Elementary School Teachers, Except Special Educati",BILINGUAL ELEMENTARY TEACHER,41000.0,,Year,Y,1.0,LA PORTE,TX,37130.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611110.0
53528,I-200-09238-351371,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-11-15,2012-11-14,MEDICAL UNIVERSITY OF SOUTH CAROLINA,45 COURTENAY DRIVE,CHARLESTON,SC,29425-1750,19-1042.00,"Medical Scientists, Except Epidemiologists",POSTDOCTORAL FELLOW,45048.0,,Year,Y,1.0,CHARLESTON,SC,37482.0,Year,OES,,2009.0,,,,,,,,611310.0
49122,I-200-09232-943793,CERTIFIED,2009-08-28,2009-09-03,H-1B,2009-10-01,2012-10-01,"ANIMUS COSMETIC & PHARMA, INC",7024 MANYA CIRCLE,SAN DIEGO,CA,92154,11-2021.00,Marketing Managers,PUBLIC RELATIONS & MARKETING COORDINATOR,80000.0,,Year,Y,1.0,MIAMI,FL,65458.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,424210.0
6010,I-200-09183-960050,DENIED,2009-07-02,2009-07-06,H-1B,2009-07-13,2012-07-12,"RACKSPACE, US INC.",755 UNIVERSITY CITY BLVD.,BLACKSBURG,VA,24060,15-1031.00,"Computer Software Engineers, Applications",SOFTWARE DEVELOPER II,62500.0,,Year,Y,1.0,BLACKSBURG,VA,47861.0,Year,OES,ONLINE WAGE LIBRARY,2009.0,,,,,,,,541512.0
2180,I-200-09142-664339,WITHDRAWN,2009-05-26,2009-05-27,H-1B,2009-10-01,2012-09-30,LSK121 ORAL PROSTHETICS,940 E. DIEHL RD.,NAPERVILLE,IL,60563,27-1024.00,Graphic Designers,GRAPHIC DESIGNER,33000.0,,Year,Y,1.0,NAPERVILLE,IL,29494.0,Year,OES,,2008.0,,,,,,,,339116.0
31135,I-200-09212-497681,CERTIFIED,2009-07-31,2009-08-06,H-1B,2009-08-17,2012-08-16,NIIT TECHNOLOGIES LIMITED,1050 CROWN POINTE PARKWAY,ATLANTA,GA,30338,15-1051.00,Computer Systems Analysts,SYSTEMS ANALYST,56535.0,,Year,Y,1.0,ATLANTA,GA,56535.0,Year,Other,ECONOMIC RESEARCH INSTITUTE,2009.0,SOUTHLAKE,TX,50735.0,Year,Other,WATSON WYATT DATA SERVICES,2009.0,541512.0
65715,I-200-09246-881548,CERTIFIED,2009-09-03,2009-09-10,H-1B,2009-09-14,2012-09-13,"HSBC BANK USA, N.A.","ONE HSBC CENTER, 11TH FLOOR",BUFFALO,NY,14203,13-2041.00,Credit Analysts,SENIOR CREDIT POLICY AND RISK ANALYST,67035.0,,Year,Y,1.0,LAS VEGAS,NV,50627.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,522110.0
7945,I-200-09188-908547,CERTIFIED,2009-07-08,2009-07-14,H-1B,2009-07-08,2010-09-30,"PYRAMID TECHNOLOGY SOLUTIONS, INC.","9535 E. 59TH STREET, SUITE A",INDIANAPOLIS,IN,46216,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,57450.0,,Year,Y,1.0,SAN FRANCISCO,CA,57450.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
42803,I-200-09226-022360,CERTIFIED-WITHDRAWN,2009-08-14,2009-09-14,H-1B,2009-09-08,2012-09-08,"WAL-MART ASSOCIATES, INC.",702 S. W. 8TH STREET,BENTONVILLE,AR,72716-0215,29-2052.00,Pharmacy Technicians,GRADUATE PHARMACIST INTERN,77653.0,,Year,Y,1.0,GREEN BAY,WI,24211.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,452910.0
7294,I-200-09188-305087,CERTIFIED,2009-07-07,2009-07-13,H-1B,2009-08-01,2012-07-31,INTERNATIONAL ACADEMY OF DESIGN & TECHNOLOGY,5104 EISENHOWER BLVD,TAMPA,FL,33634,119033,,DIRECTOR OF ADMISSIONS,70000.0,,Year,Y,1.0,TAMPA,FL,64667.0,Year,Other,ONLINE WAGE LIBRARY,2009.0,,,,,,,,611310.0
73121,I-200-09257-649815,CERTIFIED,2009-09-14,2009-09-18,H-1B,2009-09-21,2012-09-20,BRISTOL-MYERS SQUIBB COMPANY,"345 PARK AVENUE, #3-36",NEW YORK,NY,10154,19-1042.00,"Medical Scientists, Except Epidemiologists",SENIOR RESEARCH INVESTIGATOR,122000.0,,Year,Y,1.0,LAWRENCEVILLE,NJ,77043.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,325410.0
15081,I-200-09196-767342,CERTIFIED,2009-07-15,2009-07-21,H-1B,2009-10-01,2012-10-01,ACCO BRANDS USA LLC,300 TOWER PARKWAY,LINCOLNSHIRE,IL,60069,15-1031.00,"Computer Software Engineers, Applications","STRATEGIC SYSTEMS ANALYSIS, IMPLEMENTATION ANALYST",55973.0,58000.0,Year,Y,1.0,LINCOLNSHIRE,IL,55973.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,33994.0
43219,I-200-09226-430496,CERTIFIED,2009-09-03,2009-09-10,H-1B,2010-02-28,2013-02-27,"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",380 NEW YORK STREET,REDLANDS,CA,92373-,15-1031.00,"Computer Software Engineers, Applications",SOFTWARE DEVELOPMENT PROGRAMMER,81681.6,,Year,Y,1.0,REDLANDS,CA,68536.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,511210.0
24667,I-200-09208-466367,CERTIFIED,2009-07-27,2009-07-31,H-1B,2009-10-20,2012-10-20,"SIGMA DESIGNS, INC.",1778 MCCARTHY BOULEVARD,MILPITAS,CA,95035,15-1051.00,Computer Systems Analysts,SOFTWARE ENGINEER,60000.0,60000.0,Year,Y,1.0,MILPITAS,CA,52000.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,33429.0
43732,I-200-09226-897569,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-08-28,2012-08-27,"CITICORP NORTH AMERICA, INC.",111 WALL STREET,NEW YORK,NY,10005-,15-1021.00,Computer Programmers,APPLICATIONS DEVELOPMENT PROGRAMMER ANALYST,66500.0,,Year,Y,1.0,NEW YORK,NY,63586.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,523110.0
74453,I-200-09258-627145,CERTIFIED,2009-09-15,2009-09-21,H-1B,2009-10-01,2012-09-30,OBJECTSOFT GROUP INC,646-5 MAIN STREET,PORT JEFFERSON,NY,11777,15-1022.00,Computer Programmer Non R & D,PROGRAMMER ANALYST,60000.0,,Year,Y,1.0,SUWANNEE,GA,58656.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
80619,I-200-09265-403398,CERTIFIED,2009-09-23,2009-09-29,H-1B,2009-10-01,2012-09-30,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,INTERNATIONAL STUDENT & SCHOLAR SERVICES,CHAPEL HILL,NC,27599,19-1029.00,"Biological Scientists, All Other",POSTDOCTORAL RESEARCH ASSOCIATE,42178.0,,Year,Y,1.0,CHAPEL HILL,NC,41850.0,Year,OES,,2009.0,,,,,,,,611310.0
15401,I-200-09197-029263,CERTIFIED-WITHDRAWN,2009-07-16,2009-07-22,H-1B,2009-08-24,2012-08-23,LOUISIANA STATE UNIVERSITY AND A & M COLLEGE,INTERNATIONAL SERVICES OFFICE,BATON ROUGE,LA,70803,25-1071.00,"Health Specialties Teachers, Postsecondary",ASSISTANT PROFESSOR,102000.0,,Year,Y,1.0,BATON ROUGE,LA,100111.0,Year,Other,CUPA NATIONAL FACULTY SALARY SURVEY,2009.0,,,,,,,,611310.0
18206,I-200-09201-393893,CERTIFIED,2009-07-20,2009-07-25,H-1B,2009-10-01,2012-09-30,"REGINA USA, INC.",305 E. MAHN COURT,OAK CREEK,WI,53154-,11-2022.00,Sales Managers,SALES MANAGER,81890.0,,Year,Y,1.0,OAK CREEK,WI,59925.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,CHICAGO,IL,53290.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,333613.0
27211,I-200-09209-963706,CERTIFIED,2009-07-30,2009-08-05,H-1B,2009-10-01,2012-09-30,"SUSQUEHANNA INTERNATIONAL GROUP, LLP",401 E. CITY AVENUE,BALA CYNWYD,PA,19004,15-1071.00,Network and Computer Systems Administrators,SYSTEMS ASSOCIATE,49000.0,55000.0,Year,Y,1.0,BALA CYNWYD,PA,48277.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,523110.0
87639,I-203-09244-039228,CERTIFIED,2009-09-01,2009-09-08,E-3 Australian,2009-09-05,2011-09-05,PILLSBURY WINTHROP SHAW PITTMAN LLP,50 FREMONT STREET,SAN FRANCISCO,CA,94105,23-1011.00,Lawyers,COUNSEL,280000.0,,Year,Y,1.0,SAN FRANCISCO,CA,188032.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541110.0
39612,I-200-09223-581033,CERTIFIED,2009-08-11,2009-08-17,H-1B,2009-08-11,2012-08-11,"MONSTER WORLDWIDE, INC.",5 CLOCK TOWER PLACE,MAYNARD,MA,01754-,17-2141.00,Mechanical Engineers,QUALITY ASSURANCE AUTOMATION ENGINEER,80000.0,,Year,Y,1.0,MAYNARD,MA,73778.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541810.0
85940,I-200-09272-428137,CERTIFIED,2009-09-29,2009-09-29,H-1B,2009-09-29,2012-09-29,"E-INFOTEK SOLUTIONS, INC.","42840 CHRISTY STREET, SUITE 112",FREMONT,CA,94568-,15-1031.00,"Computer Software Engineers, Applications",SOFTWARE ENGINEER,75000.0,,Year,Y,1.0,FOSTER CITY,CA,71386.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
72174,I-200-09255-218940,DENIED,2009-09-12,2009-09-18,H-1B,2009-10-01,2012-10-01,MECHANICAL TRENDS,94-508 HALEKUAI PLACE,WAIPAHU,HI,96797,13-2011.00,Accountants and Auditors,ACCOUNTANT,18.0,,Hour,Y,1.0,WAIPAHU,HI,17.24,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,2361.0
86577,I-202-09205-862471,DENIED,2009-07-24,2009-07-28,H-1B1 Singapore,2009-08-10,2012-08-09,"EOS MORTAR ROCK CAPITAL MANAGEMENT, LLC",320 PARK AVENUE,NEW YORK,NY,10022,13-2051.00,Financial Analysts,FINANCIAL RESEARCH ANALYST,175000.0,,Year,Y,1.0,NEW YORK,NY,136365.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,523920.0
11939,I-200-09194-241029,CERTIFIED,2009-07-13,2009-07-17,H-1B,2009-07-13,2012-01-23,"TECHNOLOGY RIVERS, LLC",44330 PREMIER PLAZA,ASHBURN,VA,20147-,15-1031.00,"Computer Software Engineers, Applications",SENIOR SOFTWARE ENGINEER,37.6,,Hour,N,1.0,SALT LAKE CITY,UT,37.6,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
31233,I-200-09212-627212,CERTIFIED,2009-07-31,2009-08-06,H-1B,2009-10-31,2012-10-31,SHIVAM LLC,71 WEST MUSEUM DRIVE,DICKINSON,ND,58601,11-2022.00,Sales Managers,GENERAL HOTEL MANAGER,50000.0,,Year,Y,1.0,DICKINSON,ND,46966.0,Year,Other,BUREAU OF LABOR STATISTICS,2009.0,,,,,,,,721110.0
28124,I-200-09210-461357,WITHDRAWN,2009-07-29,2009-07-29,H-1B,2009-07-29,2012-07-29,"SAGEONE, INC.","3250 W BIG BEAVER ROAD, SUITE 309",TROY,MI,48084,15-1021.00,Computer Programmers,COMPUTER PROGRAMMER,59509.0,,Year,Y,1.0,TROY,MI,59509.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,561320.0
24094,I-200-09206-770751,DENIED,2009-07-27,2009-07-31,H-1B,2009-08-28,2012-08-28,NBBJ ARCHITECTURE PLLC,1555 LAKE SHORE DRIVE,COLUMBUS,OH,43204,17-1011.00,"Architects, Except Landscape and Naval",ARCHITECT,58000.0,58000.0,Year,Y,1.0,NEW YORK,NY,51854.0,Year,OES,,2009.0,,,,,,,,541310.0
68667,I-200-09252-314817,CERTIFIED,2009-09-09,2009-09-15,H-1B,2009-12-11,2012-12-11,YAHOO! INC.,701 FIRST AVENUE,SUNNYVALE,CA,94089-,15-1032.00,"Computer Software Engineers, Systems Software",SOFTWARE ENGINEER (TECHNICAL YAHOO!),76300.0,129700.0,Year,Y,1.0,SUNNYVALE,CA,74900.0,Year,Other,WATSON WYATT DATA SERVICES SURVEY,2009.0,,,,,,,,519130.0
14529,I-200-09196-326743,CERTIFIED,2009-07-15,2009-07-21,H-1B,2009-10-01,2012-09-30,KEYBANK NATIONAL ASSOCIATION,"127 PUBLIC SQUARE, 9TH FLOOR",CLEVELAND,OH,44114,13-2051.00,Financial Analysts,QUANTITATIVE RISK ANALYST / MODELER II,59280.0,,Year,Y,1.0,CLEVELAND,OH,57117.0,Year,Other,ONLINE WAGE LIBRARY,2009.0,,,,,,,,522110.0
